Author,Index,Title,Status,Class,SubType,Operator,DeltaType,ConditionDescription,IndexFor,ValueFor,Daily,REPUTATION,LOYALTY,Introduction text,Resolution text,Requirements,Objectives,Rewards,Tags
"Lethe Asphodel, vaitarna, Nedu",1,An Unknown World,Ingame,Quest,,,,,,,No,5,,"Welcome to Kamigotchi World. I’ll be your guide. 

Start by exploring your surroundings. You can move around by using the Map Menu - try clicking the buttons in the top left of your screen. 

Work out how to move, and then move 3 times. Afterwards, I’ll have a reward for you! ",Well done. You’ll be rewarded for each Quest you complete - complements of the Kamigotchi World Tourism Association.,None.,Move 3 times,1 Gacha Ticket,
,1,,Ingame,Objective,MOVE,MIN,INC,Move 3 times,,3,No,,,,,,,,
,1,,Ingame,Reward,MINT20,,,1 Gacha Ticket,0,1,No,,,,,,,,
"Lethe Asphodel, vaitarna, Nedu",2,An ode to MUSU,Ingame,Quest,,,,,,,No,5,,"Your Kamigotchi can be used to harvest resources from this world. Open the harvesting menu in the top left bar and take a look. 

You’ll need to move to another room to harvest, though. Use your Kamigotchi to Harvest for 5 minutes and I’ll have another reward for you.","Congratulations! You've made your first Harvest. Red Gakki Ribbons are hard to come by, so don’t waste it. ",Quest 11 completed. (Your First Kamigotchi),Harvest for >5 minutes.,1 XP Candy (Small),
,2,,Ingame,Requirement,QUEST,COMPLETE,,Quest 11,11,,No,,,,,,,,
,2,,Ingame,Objective,HARVEST_TIME,MIN,CURR,Harvest for > 5 minutes,,300,No,,,,,,,,
,2,,Ingame,Reward,ITEM,,,1 XP Candy (small),106,1,No,,,,,,,,
"torngarsuk, vaitarna, Nedu",3,There are levels to this,Ingame,Quest,,,,,,,No,5,,"Unlike humans, Kamigotchi have the potential to grow and change.  The simplest way to do this is by using XP, which is generated as a byproduct of Harvesting, to level them up.  

Try it.  ","Good job! One other way to increase your XP is by using XP Candies - while these are normally rare, you can occasionally get them from these quests…",Quest 2 Completed (An ode to MUSU),Level up a Kamigotchi,x2 Pom-Pom Fruit Candy,
,3,,Ingame,Requirement,QUEST,COMPLETE,,Quest 2,2,,No,,,,,,,,
,3,,Ingame,Objective,KAMI_LEVELS_TOTAL,MIN,CURR,Level up a Kamigotchi,,1,No,,,,,,,,
,3,,Ingame,Reward,ITEM,,,x2 Pom-Pom Fruit Candy,102,2,No,,,,,,,,
"Lethe Asphodel, vaitarna, Nedu",4,Skill issue,Ingame,Quest,,,,,,,No,5,,"Each time a Kami levels up, they gain a skill point. Spending skill points empowers your Kamigotchi. 

Try spending one now. But choose carefully - it’s permanent. ","I’m sure that was a good choice. 

Right?",Quest 3 completed (There are levels to this),Spend a Skill Point,1 XP Candy (Small),
,4,,Ingame,Requirement,QUEST,COMPLETE,,Quest 3,3,,No,,,,,,,,
